pcode,pname,tname,acode,aname,tcode,mcode,mname,oct_side15_lat,oct_side15_lon,oct_side15_distance,oct_side15_road,oct_side15_road_name,oct_side15_road_num,oct_side15_road_distance,oct_side15_road_name2,oct_side15_road_num2,oct_side15_wmen,oct_side15_men,oct_side15_total,oct_side15_house,oct_side15_leader,oct_side15_leader_cause,oct_side15_local,oct_side15_local_name,oct_side15_local2,oct_side15_local2_name,oct_side15_local3,oct_side15_local3_name,oct_side15_local4,oct_side15_local4_name,oct_side15_local5,oct_side15_local5_name,oct_side15_river,oct_side15_river_name,oct_side15_sea,oct_side15_sea_name,oct_side15_lagoon,oct_side15_lagoon_name,oct_side15_mangrove,oct_side15_mangrove_name,oct_side15_mangrove_area,oct_side15_swamp,oct_side15_swamp_name,oct_side15_swamp_area,oct_side15_island,oct_side15_island_name,oct_side15_foth,oct_side15_foth_name,oct_side15_mountain,oct_side15_mountain_name,oct_side15_mountain_sea_leval,oct_side15_border,oct_side15_border_name1,oct_side15_border_distance1,oct_side15_border_name2,oct_side15_border_distance2,oct_side15_mm_type1,oct_side15_mm_type2,oct_side15_mm_type2_name,oct_side15_mm_type3,oct_side15_mm_type3_name,oct_side15_power,oct_side15_power_name,oct_side15_highvoltage,oct_side15_dam,oct_side15_dam_name,oct_side15_reservoir,oct_side15_reservoir_name,oct_side15_weir,oct_side15_weir_name,oct_side15_housing,oct_side15_housing_total,oct_side15_condos,oct_side15_condos_total
51,ลำพูน,ดงดำ,5104,ลี้,51040400,51040406,แม่ลอง,17.74827026,99.03735191,13,0,,,1,พหลโยธิน,106,72,88,160,45,1,,0,,1,เทศบาลตำบลดงดำ,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,0,0,,0,,0,,0,0,,1,"อ่างเก็บน้ำปางเหล็ก, อ่างเก็บน้ำห้วยถ้ำ",0,,0,,0,
51,ลำพูน,ก้อ,5104,ลี้,51040500,51040501,ก้อทุ่ง,17.62512684,98.78746793,40,0,,,36,ลี้-ก้อทุ่ง,1087,359,363,722,248,1,,0,,1,เทศบาลตำบลก้อ,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,1,0,,0,,0,,0,0,,1,1.อ่างห้วยต้อ 2.อ่างลุงหลง 3.อ่างห้วยปั๋นปืน 4.อ่างวังบง 5.อ่างหม่อป้อม 6.อ่างแม่ชี,1,1.ฝายห้วยก้อ 2.ฝายห้วยปั๋นปืน,0,,0,
51,ลำพูน,ก้อ,5104,ลี้,51040500,51040502,ก้อหนอง,17.63737111,98.78452554,40,0,,,36,ลี้-ก้อ,1087,227,221,448,173,1,,0,,1,เทศบาลตำบลก้อ,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,1,0,,0,,0,,0,0,,1,1.อ่างห้วยป่าคา 2.อ่างห้วยขี่ 3.อ่างแพะหลวง 4.อ่างประมง 5.อ่างหมู่บ้านก้อหนอง 6.อ่างหนองบัวแดง,1,ฝายห้วยขี่,0,,0,
51,ลำพูน,ก้อ,5104,ลี้,51040500,51040503,ก้อจอก,17.63979174,98.7808241,40,1,ลี้-ก้อทุ่ง,1087,,,,286,283,569,210,1,,0,,1,เทศบาลตำบลก้อ,0,,0,,0,,1,แม่น้ำก้อ,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,1,0,,0,,0,,0,0,,1,"อ่างห้วยม่วงแก้ว,อ่างห้วยกะจวม,อ่างห้วยปูโน,อ่างห้วยน้ำลา",1,ฝายห้วยม่วงแก้ว,0,,0,
51,ลำพูน,ก้อ,5104,ลี้,51040500,51040504,ก้อท่า,17.6350578,98.77571583,40,1,ลี้-ก้อทุ่ง,1087,,,,354,329,683,332,1,,0,,1,เทศบาลตำบลก้อ,0,,0,,0,,1,แม่น้ำก้อ,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,1,0,,0,,0,,0,0,,1,"แพะก้อม ,ห้วยแมวโพง ,หนองต่อม ,โป่งแดง",1,"ห้วยโป่งแดง ,ห้วยแหนน้อย",0,,0,
51,ลำพูน,แม่ลาน,5104,ลี้,51040600,51040601,ผาต้าย,17.70164878,98.86685863,21,1,ทางหลวงแผ่นดิน,1087,,,,254,269,523,193,1,,1,แม่ลาน,0,,0,,0,,0,,1,ห้วยแม่หาด,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,1,0,,0,,0,,0,0,,1,อ่างแม่หาด  อ่างห้วยริน อ่างผาผึ้ง1 ผาผึ้ง2 ห้วยบง1 ห้วยบง2 ห้วยวอก,1,แม่หาด1   แม่หาด2,0,,0,
51,ลำพูน,แม่ลาน,5104,ลี้,51040600,51040602,หนองมะล้อ,17.72749546,98.84729996,23,1,ทางหลวงชนบท,ลพ.3008,,,,127,133,260,99,1,,1,แม่ลาน,0,,0,,0,,0,,1,ห้วยแม่หาด,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,1,0,,0,,0,,0,0,,1,"ห้วยบ่เกี๋ยง,หนองตึง1,หนองตึง2,ม่อนศรีสม,ห้วยลึก,ดง1,ดง2",1,"แม่หาด1,แม่หาด2",0,,0,
51,ลำพูน,แม่ลาน,5104,ลี้,51040600,51040603,แม่ลาน,17.76620741,98.82140726,20,1,ทางหลวงชนบล,ลพ.3008,,,,381,398,779,272,1,,1,องค์การบริหารส่วนตำบลแม่ลาน,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,1,0,,0,,0,,0,0,,1,อ่างเก็บน้ำห้วยจะก่า,1,ฝายแม่หาดหน้อย,0,,0,
51,ลำพูน,แม่ลาน,5104,ลี้,51040600,51040604,แม่กองวะ,17.78936951,98.80298585,23,1,ทางหลวงชนบล,ลพ.3008,,,,309,320,629,229,1,,1,ตำบลแม่ลาน,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,1,0,,0,,0,,0,0,,1,อ่างเก็บน้ำวัดลุ่ม,1,ฝายประชารัฐ,0,,0,
51,ลำพูน,แม่ลาน,5104,ลี้,51040600,51040606,ผาต้ายเหนือ,17.68841229,98.86631146,21,0,,,0.8,ทางหลวงแผ่นดิน,1087,114,133,247,104,1,,1,แม่ลาน,0,,0,,0,,0,,1,แม่หาด,0,,0,,0,,,0,,,0,,0,,0,,,0,,,,,1,0,,0,,0,,0,0,,1,ห้วยปู่ชุม ,1,ชลประทาน ,0,,0,
